Player,Year,Team,Position,Games_Played,Games_Started,Min_Played,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Camille Little,2016,CON,F,33,29,812,96,250,.384,29,90,.322,67,160,.419,.442,36,57,.632,25,98,66,38,9,56,92,257
Jewell Loyd,2016,SEA,G,34,34,1075,195,452,.431,40,132,.303,155,320,.484,.476,131,147,.891,33,117,115,42,10,76,58,561
Maggie Lucas,2016,IND,G,4,0,55,11,21,.524,2,10,.200,9,11,.818,.571,7,7,1.000,1,8,3,2,0,5,8,31
Sancho Lyttle,2016,ATL,F,19,18,571,62,149,.416,2,9,.222,60,140,.429,.423,19,25,.760,42,149,35,39,19,23,43,145
Ally Malott,2016,WAS,F,23,0,179,15,49,.306,10,32,.313,5,17,.294,.408,9,11,.818,6,26,10,6,3,12,13,49
Kayla McBride,2016,SAS,G,17,17,523,102,278,.367,29,95,.305,73,183,.399,.419,58,68,.853,13,68,33,18,2,34,22,291
Janel McCarville,2016,MIN,F-C,33,0,417,48,105,.457,2,11,.182,46,94,.489,.467,12,20,.600,22,84,53,21,11,23,52,110
Angel McCoughtry,2016,ATL,F-G,33,32,989,223,514,.434,26,86,.302,197,428,.460,.459,171,217,.788,37,187,92,52,23,96,79,643
Emma Meesseman,2016,WAS,C,34,34,996,210,394,.533,30,67,.448,180,327,.550,.571,68,85,.800,67,191,77,41,25,44,88,518
Leilani Mitchell,2016,WAS,G,10,0,161,20,46,.435,11,31,.355,9,15,.600,.554,8,10,.800,3,17,19,1,0,13,17,59
Tiffany Mitchell,2016,IND,G,34,8,681,87,241,.361,25,85,.294,62,156,.397,.413,92,101,.911,15,58,48,30,3,55,85,291
Alex Montgomery,2016,SAS,G-F,25,7,357,35,98,.357,10,32,.313,25,66,.379,.408,9,12,.750,15,53,39,10,4,20,37,89
Renee Montgomery,2016,MIN,G,34,2,656,87,219,.397,27,84,.321,60,135,.444,.459,53,64,.828,6,31,94,33,2,59,47,254
Maya Moore,2016,MIN,F,34,34,1009,223,498,.448,65,161,.404,158,337,.469,.513,145,167,.868,43,175,142,53,25,79,88,656
Brene Moseley,2016,IND,,8,0,77,6,23,.261,1,5,.200,5,18,.278,.283,2,5,.400,1,3,9,4,0,16,6,15
Kaleena Mosqueda-Lewis,2016,SEA,F,32,0,395,59,151,.391,35,99,.354,24,52,.462,.507,14,18,.778,8,26,26,5,2,26,47,167
Astou Ndour,2016,SAS,C,30,9,446,65,164,.396,21,61,.344,44,103,.427,.460,29,35,.829,25,95,12,13,26,16,48,180
Chiney Ogwumike,2016,CON,F,33,18,801,158,269,.587,0,0,,158,269,.587,.587,100,139,.719,88,221,22,33,33,48,120,416
Nneka Ogwumike,2016,LAS,F,33,33,1043,244,367,.665,16,26,.615,228,341,.669,.687,146,168,.869,77,299,101,42,39,70,113,650
Jenna O'Hea,2016,SEA,F,22,2,252,23,66,.348,12,38,.316,11,28,.393,.439,9,10,.900,8,28,19,8,3,15,17,67
Courtney Paris,2016,DAL,C,34,32,827,119,217,.548,0,1,.000,119,216,.551,.548,25,45,.556,94,271,38,14,29,27,111,263
