Player,Year,Team,Position,Games_Played,Games_Started,Min_Played,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Tajama Abraham,1997,SAC,C,28,5,422,48,126,.381,0,0,,48,126,.381,.381,26,38,.684,32,67,13,12,12,49,70,122
Marcie Alberts,1997,CLE,G,5,0,30,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,1,3,2,0,3,2,0
Monique Ambers,1997,PHO,F,19,0,85,4,9,.444,0,0,,4,9,.444,.444,6,15,.400,10,20,4,0,2,7,13,14
Yvette Angel,1997,SAC,G,5,3,90,7,16,.438,0,5,.000,7,11,.636,.438,0,3,.000,2,9,11,4,1,8,6,14
Janeth Arcain,1997,HOU,G,28,27,784,110,250,.440,9,33,.273,101,217,.465,.458,76,85,.894,41,110,45,43,4,67,56,305
Katasha Artis,1997,CHA,F,20,0,113,4,16,.250,0,1,.000,4,15,.267,.250,8,15,.533,1,16,8,6,1,12,13,16
Marlies Askamp,1997,PHO,C,28,1,517,70,178,.393,0,1,.000,70,177,.395,.393,71,93,.763,66,146,23,21,9,46,59,211
Elena Baranova,1997,UTA,F,28,27,913,129,331,.390,40,106,.377,89,225,.396,.450,43,62,.694,56,207,62,43,63,82,82,341
Ryneldi Becenti,1997,PHO,G,1,0,8,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,1,0,0
Rhonda Blades,1997,NYL,G,28,0,290,25,70,.357,17,54,.315,8,16,.500,.479,13,20,.650,6,21,30,14,1,39,55,80
Ruthie Bolton,1997,SAC,G,23,23,813,164,408,.402,66,192,.344,98,216,.454,.483,53,69,.768,31,134,59,54,1,58,71,447
Karen Booker,1997,UTA,C,26,4,321,20,60,.333,0,3,.000,20,57,.351,.333,21,37,.568,34,80,24,24,15,49,62,61
Jenny Boucek,1997,CLE,G,10,1,112,7,15,.467,0,3,.000,7,12,.583,.467,4,7,.571,3,10,9,6,0,22,10,18
Janice Braxton,1997,CLE,F,25,24,822,88,211,.417,5,10,.500,83,201,.413,.429,106,138,.768,38,189,49,36,28,53,64,287
Rushia Brown,1997,CLE,F,28,3,511,64,123,.520,0,0,,64,123,.520,.520,47,64,.734,48,113,20,34,14,27,72,175
Vicky Bullett,1997,CHA,F,28,28,875,145,324,.448,7,23,.304,138,301,.458,.458,62,80,.775,66,178,65,54,55,68,84,359
Heidi Burge,1997,LAS,F-C,22,6,282,32,72,.444,0,4,.000,32,68,.471,.444,23,45,.511,23,69,15,12,12,25,52,87
Linda Burgess,1997,LAS,F,28,6,492,73,135,.541,1,2,.500,72,133,.541,.544,36,49,.735,46,117,9,20,13,47,46,183
Latasha Byears,1997,SAC,G-F,28,19,656,96,209,.459,1,5,.200,95,204,.466,.462,51,69,.739,87,193,48,39,8,67,98,244
Deborah Carter,1997,UTA,G-F,19,7,286,32,82,.390,2,9,.222,30,73,.411,.402,10,14,.714,22,53,8,13,1,17,34,76
Daedra Charles,1997,LAS,F-C,28,1,282,27,67,.403,0,1,.000,27,66,.409,.403,10,15,.667,16,48,12,10,10,14,41,64
Margold Clark,1997,SAC,F-C,5,0,46,3,8,.375,0,1,.000,3,7,.429,.375,1,2,.500,0,6,1,1,1,2,10,7
Katrina Colleton,1997,LAS,F,28,14,613,55,126,.437,9,25,.360,46,101,.455,.472,17,30,.567,25,60,45,35,9,35,46,136
Megan Compain,1997,UTA,G,4,0,19,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,0,1,2,4,1,3,4,0
Andrea Congreaves,1997,CHA,F-C,28,16,658,63,126,.500,18,44,.409,45,82,.549,.571,43,56,.768,40,133,41,16,5,31,52,187
Cynthia Cooper,1997,HOU,G,28,28,982,191,406,.470,67,162,.414,124,244,.508,.553,172,199,.864,33,111,131,59,6,109,68,621
Cassandra Crumpton-Moorer,1997,NYL,G,2,0,11,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,1,2,1,0,0,1,0,2
Tamecka Dixon,1997,LAS,G,27,21,715,115,252,.456,22,52,.423,93,200,.465,.500,68,88,.773,22,81,55,49,5,58,76,320
Michelle Edwards,1997,CLE,G,20,14,622,76,170,.447,6,26,.231,70,144,.486,.465,45,86,.523,13,70,89,34,3,77,40,203
Isabelle Fijalkowski,1997,CLE,F-C,28,28,803,125,246,.508,1,4,.250,124,242,.512,.510,81,103,.786,62,156,68,17,18,73,129,332
Kisha Ford,1997,NYL,G-F,28,3,473,43,114,.377,3,20,.150,40,94,.426,.390,27,44,.614,28,48,25,28,5,38,56,116
Toni Foster,1997,PHO,F-C,28,28,736,94,201,.468,1,6,.167,93,195,.477,.470,57,81,.704,64,172,27,53,21,53,77,246
Travesa Gant,1997,LAS,C,2,0,13,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,3,0,0,0,2,4,0
Pietra Gay,1997,HOU,G-F,5,0,12,1,2,.500,0,0,,1,2,.500,.500,2,5,.400,0,3,2,1,0,4,3,4
Kim Gessig,1997,LAS,F,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,1,0,0,0,1,2,0
Jennifer Gillom,1997,PHO,F-C,28,28,874,163,376,.434,20,65,.308,143,311,.460,.460,94,121,.777,45,151,21,37,15,58,93,440
Bridgette Gordon,1997,SAC,F,28,28,981,135,312,.433,11,40,.275,124,272,.456,.450,84,107,.785,67,135,78,39,9,83,58,365
Denique Graves,1997,SAC,C,22,0,86,6,27,.222,0,0,,6,27,.222,.222,4,8,.500,3,15,0,0,6,12,15,16
Lady Grooms,1997,UTA,F,28,24,691,58,167,.347,1,10,.100,57,157,.363,.350,36,55,.655,33,84,67,23,2,79,39,153
Wanda Guyton,1997,HOU,C,25,25,668,57,122,.467,0,0,,57,122,.467,.467,38,68,.559,76,136,12,26,8,43,83,152
Mikiko Hagiwara,1997,TOT,G,26,7,360,25,86,.291,17,61,.279,8,25,.320,.390,9,16,.563,7,23,20,4,2,16,16,76
Kym Hampton,1997,NYL,C,28,28,663,99,210,.471,0,1,.000,99,209,.474,.471,73,114,.640,52,163,38,39,19,49,68,271
Fran Harris,1997,HOU,G-F,25,1,369,37,107,.346,8,24,.333,29,83,.349,.383,22,31,.710,16,56,25,17,3,29,27,104
Dena Head,1997,UTA,G,27,4,471,53,136,.390,10,32,.313,43,104,.413,.426,38,45,.844,22,63,46,14,8,61,45,154
Jessie Hicks,1997,UTA,C-F,26,0,263,37,80,.463,0,1,.000,37,79,.468,.463,9,16,.563,17,36,10,13,11,12,57,83
Susie Hopson-Shelton,1997,CHA,F,6,0,29,7,11,.636,0,0,,7,11,.636,.636,2,2,1.000,1,5,1,1,0,2,3,16
Tammy Jackson,1997,HOU,F-C,28,3,545,45,110,.409,0,1,.000,45,109,.413,.409,25,41,.610,42,116,12,45,10,49,84,115
Tia Jackson,1997,PHO,F,26,6,320,25,73,.342,3,8,.375,22,65,.338,.363,21,25,.840,24,55,26,23,8,37,31,74
Adrienne Johnson,1997,CLE,G,25,0,194,22,59,.373,2,4,.500,20,55,.364,.390,7,9,.778,8,22,9,5,1,27,12,53
Vickie Johnson,1997,NYL,G-F,26,25,789,108,269,.401,4,21,.190,104,248,.419,.409,27,35,.771,46,110,66,19,4,49,52,247
Merlakia Jones,1997,CLE,G,28,1,589,92,229,.402,5,12,.417,87,217,.401,.413,40,56,.714,31,82,25,23,3,54,55,229
Greta Koss,1997,UTA,F,13,10,268,15,29,.517,2,3,.667,13,26,.500,.552,12,16,.750,12,37,10,9,4,18,15,44
Lisa Leslie,1997,LAS,C,28,28,902,160,371,.431,12,46,.261,148,325,.455,.447,113,189,.598,63,266,74,39,59,109,99,445
Nicole Levesque,1997,CHA,G,27,21,622,36,98,.367,23,66,.348,13,32,.406,.485,14,15,.933,5,47,75,21,3,71,47,109
Nancy Lieberman,1997,PHO,G,25,0,279,25,77,.325,6,26,.231,19,51,.373,.364,8,10,.800,6,32,40,15,2,39,34,64
Rebecca Lobo,1997,NYL,C,28,28,939,133,354,.376,18,63,.286,115,291,.395,.401,64,105,.610,62,203,53,26,51,88,73,348
Mwadi Mabika,1997,LAS,G,21,1,325,53,136,.390,7,38,.184,46,98,.469,.415,13,24,.542,22,54,22,23,6,27,48,126
Sharon Manning,1997,CHA,F-C,28,5,438,58,125,.464,0,0,,58,125,.464,.464,21,50,.420,42,98,13,25,5,29,31,137
Rhonda Mapp,1997,CHA,C,28,23,710,120,244,.492,4,8,.500,116,236,.492,.500,82,106,.774,53,154,64,21,12,68,104,326
Anita Maxwell,1997,CLE,F,9,0,63,8,24,.333,0,0,,8,24,.333,.333,3,8,.375,2,12,8,4,0,6,5,19
Pamela McGee,1997,SAC,F-C,27,23,691,102,222,.459,2,7,.286,100,215,.465,.464,79,112,.705,54,120,20,27,14,73,113,285
Penny Moore,1997,CHA,F,28,9,539,57,159,.358,5,25,.200,52,134,.388,.374,16,31,.516,15,72,28,16,11,44,35,135
Yolanda Moore,1997,HOU,F-C,13,0,93,5,20,.250,0,0,,5,20,.250,.250,6,12,.500,6,13,1,1,0,7,9,16
Judy Mosley-McAfee,1997,SAC,F,12,9,265,22,48,.458,0,0,,22,48,.458,.458,11,11,1.000,24,47,10,8,2,25,30,55
Eva Nemcova,1997,CLE,F,28,28,944,138,292,.473,37,85,.435,101,207,.488,.536,71,83,.855,23,110,67,39,8,78,53,384
Tina Nicholson,1997,CLE,G,24,14,273,18,44,.409,9,24,.375,9,20,.450,.511,3,5,.600,2,10,42,10,1,28,28,48
Wendy Palmer,1997,UTA,F,28,28,936,157,420,.374,12,48,.250,145,372,.390,.388,117,173,.676,76,225,48,47,6,71,86,443
Jasmina Perazic-Gipe,1997,NYL,G-F,9,0,47,5,13,.385,0,3,.000,5,10,.500,.385,0,0,,2,11,4,3,0,7,1,10
Kim Perrot,1997,HOU,G,28,24,692,59,162,.364,28,99,.283,31,63,.492,.451,15,37,.405,18,75,88,69,2,65,53,161
Bridget Pettis,1997,PHO,G,28,28,842,107,321,.333,41,134,.306,66,187,.353,.397,97,108,.898,36,107,78,49,12,82,57,352
Catarina Pollini,1997,HOU,F,13,0,94,8,22,.364,0,0,,8,22,.364,.364,6,12,.500,3,12,5,4,1,8,21,22
Tammi Reiss,1997,UTA,G,28,26,831,72,231,.312,30,101,.297,42,130,.323,.377,42,55,.764,29,77,87,23,2,61,57,216
Laure Savasta,1997,SAC,G,14,0,157,11,45,.244,4,20,.200,7,25,.280,.289,7,9,.778,1,6,12,4,1,21,14,33
Raegan Scott,1997,UTA,F-C,8,0,43,5,13,.385,0,0,,5,13,.385,.385,2,2,1.000,4,7,1,1,3,0,3,12
Andrea Stinson,1997,CHA,G,28,28,1011,177,396,.447,25,77,.325,152,319,.476,.479,60,89,.674,48,155,124,43,21,99,55,439
Tora Suber,1997,CHA,G,28,8,475,40,108,.370,23,58,.397,17,50,.340,.477,28,41,.683,5,42,56,13,3,51,32,131
Sheryl Swoopes,1997,HOU,F-G,9,0,129,25,53,.472,4,16,.250,21,37,.568,.509,10,14,.714,6,15,7,7,4,4,5,64
Tina Thompson,1997,HOU,F,28,28,885,133,318,.418,37,100,.370,96,218,.440,.476,67,80,.838,67,184,32,21,28,62,107,370
Michele Timms,1997,PHO,G,27,27,966,99,295,.336,49,142,.345,50,153,.327,.419,79,104,.760,23,99,137,71,3,80,95,326
Penny Toler,1997,LAS,G,28,28,907,144,338,.426,7,38,.184,137,300,.457,.436,73,87,.839,25,94,143,36,3,107,66,368
Chantel Tremitiere,1997,SAC,G,28,28,1051,69,196,.352,7,37,.189,62,159,.390,.370,67,90,.744,25,114,135,54,1,122,80,212
Trena Trice,1997,NYL,F-C,28,0,340,51,92,.554,2,8,.250,49,84,.583,.565,30,45,.667,32,68,2,9,9,40,65,134
Molly Tuter,1997,PHO,G,3,0,3,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,0,0,0,0,0,0,0
Danielle Viglione,1997,SAC,G,7,0,30,3,11,.273,1,4,.250,2,7,.286,.318,0,0,,1,4,1,1,0,0,5,7
Milica Vukadinovic,1997,CHA,G,1,0,14,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,1,1,1,0,3,0,3
Teresa Weatherspoon,1997,NYL,G,28,28,924,64,137,.467,3,35,.086,61,102,.598,.478,65,100,.650,25,116,172,85,2,94,72,196
Umeki Webb,1997,PHO,G-F,28,17,775,47,158,.297,1,15,.067,46,143,.322,.301,46,67,.687,42,117,68,68,8,55,92,141
Sue Wicks,1997,NYL,F,28,0,332,38,107,.355,2,7,.286,36,100,.360,.364,22,33,.667,36,94,29,17,18,46,52,100
Jamila Wideman,1997,LAS,G,28,14,633,25,106,.236,7,36,.194,18,70,.257,.269,27,34,.794,16,57,103,24,1,51,44,84
Debra Williams,1997,CHA,G,10,2,116,11,43,.256,4,18,.222,7,25,.280,.302,1,2,.500,3,13,9,2,0,6,9,27
Kim Williams,1997,UTA,G,28,10,608,88,229,.384,9,34,.265,79,195,.405,.404,41,53,.774,34,81,60,38,7,57,83,226
Tara Williams,1997,PHO,G,12,0,84,16,39,.410,5,11,.455,11,28,.393,.474,0,0,,1,8,3,3,0,4,9,37
Sophia Witherspoon,1997,NYL,G,28,28,867,140,345,.406,44,126,.349,96,219,.438,.470,83,111,.748,30,84,64,49,7,77,62,407
Lynette Woodard,1997,CLE,G,28,27,712,87,218,.399,0,7,.000,87,211,.412,.399,43,64,.672,37,116,67,46,10,69,44,217
Tiffany Woosley,1997,HOU,G,26,4,397,29,88,.330,16,50,.320,13,38,.342,.420,2,8,.250,8,28,29,18,1,30,19,76
Corissa Yasen,1997,SAC,G,19,0,188,23,57,.404,0,1,.000,23,56,.411,.404,6,12,.500,12,20,6,18,2,16,17,52
Haixia Zheng,1997,LAS,C,28,21,557,110,178,.618,0,0,,110,178,.618,.618,39,59,.661,32,123,17,11,20,46,77,259
Tajama Abraham,1998,DET,C,12,0,44,5,14,.357,0,0,,5,14,.357,.357,8,15,.533,2,7,0,2,1,5,8,18
Erin Alexander,1998,TOT,G,20,0,141,12,44,.273,11,35,.314,1,9,.111,.398,4,4,1.000,8,18,9,3,0,12,18,39
Janeth Arcain,1998,HOU,G,30,4,657,83,195,.426,5,33,.152,78,162,.481,.438,34,45,.756,43,108,26,25,3,38,48,205
Marlies Askamp,1998,PHO,C,26,0,319,49,104,.471,0,0,,49,104,.471,.471,41,62,.661,36,85,12,12,7,22,45,139
Tricia Bader Binford,1998,UTA,G,22,0,206,16,53,.302,10,27,.370,6,26,.231,.396,4,8,.500,0,10,20,13,0,26,34,46
Elena Baranova,1998,UTA,F,20,19,671,92,219,.420,15,48,.313,77,171,.450,.454,59,71,.831,61,186,70,21,30,55,44,258
Adia Barnes,1998,SAC,F,29,16,619,88,223,.395,14,47,.298,74,176,.420,.426,29,39,.744,35,84,22,14,10,53,70,219
Quacy Barnes,1998,SAC,C,17,0,90,6,15,.400,0,0,,6,15,.400,.400,4,11,.364,5,8,2,1,6,9,20,16
Tully Bevilaqua,1998,CLE,G,12,2,126,9,16,.563,1,3,.333,8,13,.615,.594,4,6,.667,2,10,24,12,2,9,14,23
Rhonda Blades,1998,DET,G,29,2,340,20,78,.256,12,50,.240,8,28,.286,.333,14,29,.483,5,32,41,12,1,41,47,66
Cindy Blodgett,1998,CLE,G,22,0,184,19,66,.288,10,37,.270,9,29,.310,.364,15,24,.625,2,14,18,9,0,12,18,63
Octavia Blue,1998,LAS,F,30,3,331,26,77,.338,6,21,.286,20,56,.357,.377,15,24,.625,19,49,10,13,3,27,41,73
Ruthie Bolton,1998,SAC,G,5,4,133,17,58,.293,4,26,.154,13,32,.406,.328,17,28,.607,5,11,6,6,0,7,12,55
Karen Booker,1998,HOU,C,1,0,2,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,1,0,0,0,0
Kelly Boucher,1998,CHA,F,9,0,52,3,15,.200,1,6,.167,2,9,.222,.233,3,4,.750,2,13,2,1,0,3,3,10
Carla Boyd,1998,DET,F,30,24,817,89,260,.342,19,63,.302,70,197,.355,.379,48,76,.632,51,118,68,27,10,52,88,245
Albena Branzova,1998,NYL,F,11,0,94,9,25,.360,2,4,.500,7,21,.333,.400,3,4,.750,6,16,5,3,1,12,12,23
Gergana Branzova,1998,DET,F,26,0,204,29,65,.446,0,4,.000,29,61,.475,.446,11,20,.550,13,42,7,3,4,21,42,69
Janice Braxton,1998,CLE,F,30,30,840,108,218,.495,2,6,.333,106,212,.500,.500,77,102,.755,37,168,74,51,15,67,77,295
Razija Brcaninovic,1998,DET,C,30,30,695,106,204,.520,0,0,,106,204,.520,.520,60,90,.667,54,154,29,9,26,64,86,272
Michelle Brogan,1998,PHO,F,30,25,779,93,184,.505,11,23,.478,82,161,.509,.535,78,98,.796,45,133,41,44,5,52,48,275
Sandy Brondello,1998,DET,G,30,28,993,157,367,.428,16,44,.364,141,323,.437,.450,96,104,.923,18,87,98,38,1,64,58,426
Cindy Brown,1998,DET,F,30,30,965,126,268,.470,20,61,.328,106,207,.512,.507,82,114,.719,70,301,53,51,22,67,105,354
La'Shawn Brown,1998,WAS,C,22,2,272,13,37,.351,0,0,,13,37,.351,.351,17,33,.515,17,53,8,10,20,24,62,43
Rushia Brown,1998,CLE,F,30,7,522,64,139,.460,0,1,.000,64,138,.464,.460,66,85,.776,34,93,28,34,16,49,79,194
Vicky Bullett,1998,CHA,F,30,30,947,162,367,.441,4,26,.154,158,341,.463,.447,71,86,.826,62,194,46,66,46,64,88,399
Heidi Burge,1998,WAS,F-C,30,15,501,81,159,.509,2,7,.286,79,152,.520,.516,37,62,.597,31,100,26,16,15,73,93,201
Linda Burgess,1998,SAC,F,30,29,692,90,189,.476,1,8,.125,89,181,.492,.479,45,59,.763,53,146,28,42,11,61,81,226
Latasha Byears,1998,SAC,G-F,30,26,828,181,400,.453,4,18,.222,177,382,.463,.458,61,92,.663,85,199,29,43,13,71,121,427
Deborah Carter,1998,WAS,G-F,29,6,434,39,144,.271,12,49,.245,27,95,.284,.313,21,26,.808,20,65,23,16,4,40,57,111
Elisabeth Cebrian,1998,NYL,C,22,0,187,15,35,.429,0,0,,15,35,.429,.429,8,14,.571,12,27,8,1,7,20,32,38
Keri Chaconas,1998,WAS,G,30,1,397,44,148,.297,30,105,.286,14,43,.326,.399,26,33,.788,7,24,38,13,0,49,52,144
Sonia Chase,1998,CHA,G,23,0,166,14,28,.500,0,0,,14,28,.500,.500,6,6,1.000,5,14,13,5,0,13,16,34
Katrina Colleton,1998,LAS,F,30,14,575,30,99,.303,5,19,.263,25,80,.313,.328,15,18,.833,25,51,47,18,11,29,44,80
Andrea Congreaves,1998,CHA,F-C,24,10,372,35,81,.432,15,51,.294,20,30,.667,.525,19,21,.905,18,71,36,11,5,23,37,104
Cynthia Cooper,1998,HOU,G,30,30,1051,203,455,.446,64,160,.400,139,295,.471,.516,210,246,.854,25,110,131,48,11,95,65,680
Tamecka Dixon,1998,LAS,G,22,22,710,124,283,.438,21,59,.356,103,224,.460,.475,88,113,.779,13,56,54,24,8,57,67,357
Nadine Domond,1998,SAC,G,9,0,92,10,33,.303,3,16,.188,7,17,.412,.348,4,4,1.000,6,9,9,7,1,11,13,27
Margo Dydek,1998,UTA,C,30,30,839,146,303,.482,1,7,.143,145,296,.490,.483,93,127,.732,41,227,53,14,114,108,126,386
Michelle Edwards,1998,CLE,G,23,9,533,68,163,.417,11,34,.324,57,129,.442,.451,31,50,.620,6,52,65,23,1,46,42,178
Allison Feaster,1998,LAS,F,3,0,41,3,14,.214,2,10,.200,1,4,.250,.286,2,2,1.000,1,2,3,2,0,4,10,10
Isabelle Fijalkowski,1998,CLE,F-C,28,23,806,146,267,.547,4,10,.400,142,257,.553,.554,87,106,.821,59,192,58,17,27,81,115,383
Kisha Ford,1998,NYL,G-F,30,0,471,60,138,.435,2,11,.182,58,127,.457,.442,25,40,.625,23,37,23,32,2,16,68,147
Toni Foster,1998,PHO,F-C,16,5,218,28,60,.467,0,0,,28,60,.467,.467,23,30,.767,10,30,19,14,5,15,20,79
Jennifer Gillom,1998,PHO,F-C,30,30,962,228,492,.463,31,82,.378,197,410,.480,.495,137,195,.703,62,219,42,50,10,89,94,624
Bridgette Gordon,1998,SAC,F,22,5,253,24,63,.381,0,8,.000,24,55,.436,.381,9,16,.563,11,30,9,8,0,30,27,57
Margo Graham,1998,WAS,C,10,0,49,8,19,.421,0,0,,8,19,.421,.421,3,6,.500,8,13,1,1,1,8,14,19
Lady Grooms,1998,SAC,F,30,29,792,75,154,.487,1,6,.167,74,148,.500,.490,63,94,.670,37,80,48,20,3,52,35,214
Wanda Guyton,1998,HOU,C,1,1,14,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,1,1,2,4,0
Mikiko Hagiwara,1998,PHO,G,10,0,59,8,21,.381,4,12,.333,4,9,.444,.476,2,3,.667,0,2,3,0,0,5,4,22
Angie Hamblin,1998,DET,G-F,6,0,29,2,8,.250,1,2,.500,1,6,.167,.313,1,2,.500,2,7,2,1,0,7,4,6
Kym Hampton,1998,NYL,C,30,30,745,98,217,.452,0,1,.000,98,216,.454,.452,78,109,.716,53,181,26,33,15,62,90,274
Fran Harris,1998,UTA,G-F,18,12,353,28,79,.354,5,16,.313,23,63,.365,.386,10,12,.833,14,39,30,13,1,17,33,71
Kristi Harrower,1998,PHO,G,30,0,355,19,52,.365,11,32,.344,8,20,.400,.471,21,28,.750,2,21,52,15,3,31,25,70
Dena Head,1998,UTA,G,30,14,467,36,85,.424,13,27,.481,23,58,.397,.500,23,33,.697,14,52,37,30,0,44,40,108
Korie Hlede,1998,DET,G,27,27,912,135,345,.391,29,74,.392,106,271,.391,.433,83,103,.806,39,141,73,21,1,88,66,382
Angela Jackson,1998,WAS,C,6,0,36,3,6,.500,0,0,,3,6,.500,.500,4,6,.667,3,4,0,1,2,0,7,10
Tammy Jackson,1998,TOT,F-C,21,0,174,10,24,.417,0,0,,10,24,.417,.417,8,13,.615,7,25,6,4,5,14,34,28
Adrienne Johnson,1998,CLE,G,29,0,330,53,116,.457,14,33,.424,39,83,.470,.517,13,18,.722,17,48,15,7,4,24,35,133
LaTonya Johnson,1998,UTA,F,28,8,490,58,145,.400,14,49,.286,44,96,.458,.448,21,34,.618,14,54,20,11,1,42,42,151
Leslie Johnson,1998,WAS,F,7,0,15,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,1,1,0,0,4,6,2
Pollyanna Johns Kimbrough,1998,CHA,C,24,0,180,22,45,.489,0,0,,22,45,.489,.489,18,28,.643,14,37,6,3,2,9,9,62
Tiffani Johnson,1998,SAC,C,6,0,32,0,6,.000,0,0,,0,6,.000,.000,2,4,.500,3,10,0,2,0,3,5,2
Vickie Johnson,1998,NYL,G-F,30,30,905,146,327,.446,21,56,.375,125,271,.461,.479,63,82,.768,44,114,74,31,7,45,70,376
Merlakia Jones,1998,CLE,G,30,21,683,109,235,.464,7,20,.350,102,215,.474,.479,61,81,.753,28,95,39,32,3,52,69,286
Pauline Jordan,1998,TOT,F-C,24,0,277,26,69,.377,0,1,.000,26,68,.382,.377,22,35,.629,15,49,20,14,12,25,48,74
Aneta Kausaite,1998,DET,F,10,0,58,5,20,.250,0,2,.000,5,18,.278,.250,4,7,.571,8,11,1,3,0,3,4,14
Tanja Kostic,1998,CLE,F,5,0,30,2,3,.667,0,0,,2,3,.667,.667,1,2,.500,1,2,2,0,0,3,2,5
Andrea Kuklova,1998,PHO,G-F,29,2,340,38,95,.400,1,7,.143,37,88,.420,.405,20,36,.556,19,37,31,18,4,40,40,97
Monica Lamb,1998,HOU,C,30,25,649,66,122,.541,0,0,,66,122,.541,.541,29,42,.690,62,142,9,24,21,27,87,161
Lisa Leslie,1998,LAS,C,28,28,898,202,423,.478,9,23,.391,193,400,.483,.488,136,177,.768,77,285,70,42,60,102,121,549
Rebecca Lobo,1998,NYL,C,30,30,875,136,281,.484,12,39,.308,124,242,.512,.505,66,93,.710,70,207,44,17,33,67,98,350
Mwadi Mabika,1998,LAS,G,29,23,710,87,257,.339,33,107,.308,54,150,.360,.403,30,43,.698,29,127,44,30,9,37,73,237
Sharon Manning,1998,CHA,F-C,30,6,575,59,134,.440,0,2,.000,59,132,.447,.440,44,66,.667,60,166,30,32,7,43,62,162
Rhonda Mapp,1998,CHA,C,21,14,456,83,164,.506,1,10,.100,82,154,.532,.509,45,60,.750,35,89,33,13,8,39,60,212
Suzie McConnell Serio,1998,CLE,G,28,28,882,80,176,.455,29,71,.408,51,105,.486,.537,51,70,.729,8,62,178,49,5,104,48,240
Nikki McCray,1998,WAS,G,29,28,969,191,457,.418,23,73,.315,168,384,.438,.443,107,143,.748,34,85,90,43,2,125,81,512
Pamela McGee,1998,LAS,F-C,30,22,570,80,183,.437,0,4,.000,80,179,.447,.437,43,70,.614,62,145,13,23,24,54,104,203
Penny Moore,1998,WAS,F,29,26,756,93,271,.343,19,92,.207,74,179,.413,.378,33,46,.717,35,108,46,44,20,61,58,238
Yolanda Moore,1998,HOU,F-C,30,4,533,32,71,.451,1,2,.500,31,69,.449,.458,33,41,.805,32,86,10,26,0,20,54,98
Eva Nemcova,1998,CLE,F,30,30,972,132,282,.468,28,62,.452,104,220,.473,.518,67,75,.893,28,111,67,33,21,64,77,359
Murriel Page,1998,WAS,F,30,30,955,104,217,.479,0,2,.000,104,215,.484,.479,41,65,.631,81,208,40,19,13,57,97,249
Wendy Palmer,1998,UTA,F,28,21,761,145,307,.472,6,17,.353,139,290,.479,.482,81,124,.653,70,186,30,18,5,56,75,377
Tia Paschal,1998,CHA,F,20,0,110,11,37,.297,1,4,.250,10,33,.303,.311,4,6,.667,4,15,9,8,0,11,12,27
Ticha Penicheiro,1998,SAC,G,30,30,1080,55,165,.333,10,43,.233,45,122,.369,.364,70,109,.642,13,141,224,67,3,116,90,190
Kim Perrot,1998,HOU,G,30,30,986,88,218,.404,29,108,.269,59,110,.536,.470,49,70,.700,17,92,142,84,0,82,70,254
Bridget Pettis,1998,PHO,G,30,28,849,113,300,.377,35,123,.285,78,177,.441,.435,77,89,.865,34,103,62,29,9,62,75,338
Franthea Price,1998,SAC,G,26,1,379,43,115,.374,28,78,.359,15,37,.405,.496,13,18,.722,7,44,35,20,2,32,29,127
Brandy Reed,1998,PHO,F,24,0,254,50,95,.526,2,8,.250,48,87,.552,.537,22,31,.710,36,78,20,18,7,33,30,124
Michelle Reed,1998,LAS,G-F,9,0,49,3,11,.273,1,4,.250,2,7,.286,.318,7,12,.583,2,11,2,2,1,6,4,14
Tracy Reid,1998,CHA,F,30,30,966,151,310,.487,0,2,.000,151,308,.490,.487,111,181,.613,60,157,46,40,12,71,59,413
Tammi Reiss,1998,UTA,G,22,17,477,54,134,.403,16,54,.296,38,80,.475,.463,19,29,.655,14,39,48,11,1,25,32,143
Nyree Roberts,1998,HOU,C,14,0,55,6,7,.857,0,0,,6,7,.857,.857,4,7,.571,3,10,2,1,0,4,3,16
Eugenia Rycraw,1998,LAS,C,20,4,226,15,32,.469,0,0,,15,32,.469,.469,16,22,.727,17,50,4,7,18,14,27,46
Alessandra Santos de Oliveira,1998,WAS,C,16,12,481,63,122,.516,0,0,,63,122,.516,.516,50,108,.463,60,129,1,12,7,55,45,176
Olympia Scott,1998,UTA,C,29,1,466,58,135,.430,1,5,.200,57,130,.438,.433,37,65,.569,37,85,22,24,10,49,78,154
Raegan Scott,1998,CLE,F-C,22,0,167,14,38,.368,0,2,.000,14,36,.389,.368,10,12,.833,5,29,7,3,5,9,24,38
Adrienne Shuler,1998,WAS,G,25,12,363,31,84,.369,13,38,.342,18,46,.391,.446,14,17,.824,12,52,48,23,3,41,52,89
Christy Smith,1998,CHA,G,24,18,448,27,75,.360,18,57,.316,9,18,.500,.480,17,20,.850,3,34,71,10,0,48,34,89
