Player,Year,Team,Position,Games_Played,Min_Played,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
Tully Bevilaqua,2002,POR,G,27,421,10.6,.569,.590,.475,2.2,5.2,18.0,3.0,0.6,26.8,11.5,0.4,0.5,0.9,.086
Sue Bird,2002,SEA,G,32,1121,19.7,.543,.379,.299,1.9,4.9,35.4,2.9,0.2,20.4,23.0,3.4,1.4,4.8,.172
Debbie Black,2002,MIA,G,32,899,15.7,.438,.019,.206,6.0,9.6,28.9,4.0,0.5,15.5,11.8,1.6,1.5,3.0,.135
Ruthie Bolton,2002,SAC,G,32,737,18.8,.499,.418,.244,5.4,8.3,11.9,3.5,0.2,9.1,25.5,1.6,0.8,2.3,.127
Susanna Bonfiglio,2002,PHO,G,22,306,15.2,.525,.067,.281,6.8,8.1,15.7,2.2,0.0,15.3,18.8,0.6,0.1,0.7,.087
Sandy Brondello,2002,MIA,G,30,763,11.7,.445,.165,.252,1.2,3.8,12.8,2.1,0.5,11.9,22.6,0.1,0.5,0.6,.030
Edwina Brown,2002,DET,G-F,28,549,6.7,.396,.092,.244,6.6,9.3,20.5,2.6,1.1,29.3,17.5,-1.2,0.6,-0.6,-0.043
Kiesha Brown,2002,WAS,G,18,108,8.7,.385,.314,.086,4.7,7.1,10.8,2.7,0.0,12.1,19.2,-0.1,0.1,0.0,.017
Rushia Brown,2002,CLE,F,28,468,10.4,.460,.010,.362,8.7,11.1,11.8,2.7,1.6,24.3,17.9,-0.3,0.5,0.2,.017
Vicky Bullett,2002,WAS,F,32,953,17.0,.533,.203,.174,6.2,12.4,10.9,3.3,3.4,18.1,16.3,1.3,2.2,3.5,.146
Annie Burgess,2002,WAS,G,26,632,13.9,.517,.327,.446,3.2,6.2,26.1,3.2,0.6,25.3,12.8,0.9,0.9,1.8,.113
Alisa Burras,2002,POR,C,32,633,20.2,.665,.000,.280,10.8,15.3,2.4,0.9,0.9,19.0,19.6,2.1,0.7,2.8,.176
Janell Burse,2002,MIN,C,31,344,8.2,.420,.012,.434,11.9,12.1,4.3,1.2,3.5,15.4,17.2,-0.1,0.4,0.3,.031
Latasha Byears,2002,LAS,G-F,26,486,19.7,.622,.000,.431,17.8,17.9,5.0,2.1,0.7,12.0,15.8,2.0,0.9,3.0,.244
Edna Campbell,2002,SAC,G,1,12,13.7,.400,.400,.000,0.0,5.4,0.0,4.8,0.0,0.0,20.4,0.0,0.0,0.0,.031
Dominique Canty,2002,DET,G,28,625,9.8,.427,.032,.494,4.8,6.9,26.0,1.9,0.5,23.0,18.3,-0.3,0.4,0.1,.008
Swin Cash,2002,DET,F,32,1079,19.4,.523,.178,.643,8.9,12.9,17.3,1.9,2.4,18.1,24.1,2.5,1.4,3.9,.144
Iziane Castro Marques,2002,MIA,F-G,19,182,6.3,.398,.236,.347,5.0,6.6,8.3,2.3,0.0,17.8,28.5,-0.6,0.1,-0.4,-0.093
Tamika Catchings,2002,IND,F,32,1167,30.9,.571,.440,.419,10.6,16.2,24.6,4.9,3.5,13.6,26.3,6.5,2.7,9.2,.315
LaNeishea Caufield,2002,UTA,G,8,65,8.6,.598,.600,.133,6.0,4.8,2.7,5.9,0.0,33.5,16.9,0.0,0.1,0.0,.029
Jill Chapman-Daily,2002,DET,C,19,119,4.6,.388,.037,.111,11.6,13.7,0.0,1.4,1.4,22.0,14.3,-0.2,0.1,-0.1,-0.028
Kayte Christensen,2002,PHO,F,30,413,14.4,.543,.011,.368,12.3,12.9,7.2,3.3,2.7,22.5,16.8,0.4,0.4,0.9,.083
Stacy Clinesmith,2002,DET,G,12,105,13.2,.571,.714,.286,1.2,3.0,31.3,0.5,0.8,20.2,13.3,0.3,0.0,0.3,.109
Camille Cooper,2002,NYL,C,23,119,4.3,.428,.000,.286,6.0,9.5,5.0,2.1,4.2,24.1,18.4,-0.3,0.2,-0.1,-0.026
Sylvia Crawley,2002,POR,F,32,819,12.4,.448,.060,.222,7.4,10.8,11.5,1.2,3.8,16.6,21.9,-0.2,0.9,0.7,.036
Danielle Crockrom,2002,UTA,F,18,84,11.2,.436,.036,.429,9.3,9.6,4.5,0.0,1.8,8.3,19.9,0.1,0.0,0.1,.058
Davalyn Cunningham,2002,ORL,F,6,21,-9.0,.000,.000,.000,6.2,6.3,0.0,5.5,0.0,16.7,14.0,-0.2,0.0,-0.1,-0.259
Stacey Dales,2002,WAS,F,31,805,14.9,.553,.474,.435,4.1,6.4,20.5,1.2,0.4,19.9,21.3,1.8,0.5,2.3,.115
Grace Daley,2002,HOU,G,23,185,14.4,.546,.216,1.270,9.4,8.1,17.3,1.0,0.5,22.8,20.8,0.3,0.3,0.6,.131
Erika de Souza,2002,LAS,F-C,11,41,3.5,.326,.000,.714,25.9,21.0,8.6,4.0,0.0,24.6,27.5,-0.2,0.1,-0.1,-0.101
Tamecka Dixon,2002,LAS,G,30,958,11.4,.461,.178,.184,2.5,5.9,22.3,1.6,0.4,19.2,20.6,0.5,1.0,1.5,.063
Cintia dos Santos,2002,ORL,C,26,260,13.9,.601,.019,.868,7.5,9.0,7.4,0.9,4.5,21.5,17.6,0.6,0.1,0.7,.111
Katie Douglas,2002,ORL,G-F,32,830,19.0,.578,.385,.327,6.4,10.8,12.6,3.4,1.4,15.2,16.4,2.6,1.0,3.6,.173
Margo Dydek,2002,UTA,C,30,876,22.8,.521,.025,.423,7.7,18.6,16.4,1.6,9.3,20.2,24.9,1.4,2.1,3.5,.161
Simone Edwards,2002,SEA,C,32,694,15.6,.586,.006,.462,8.4,13.3,5.5,1.8,1.5,18.8,16.3,1.5,1.1,2.6,.149
Tonya Edwards,2002,CHA,G,29,303,16.5,.470,.253,.465,5.1,9.3,16.6,3.2,0.6,12.5,23.3,0.6,0.3,0.9,.113
Shalonda Enis,2002,CHA,F-C,4,59,16.8,.433,.167,.500,14.2,10.5,9.9,1.0,3.0,4.4,20.2,0.2,0.0,0.2,.145
Summer Erb,2002,CHA,C,31,342,10.3,.603,.000,.403,8.2,14.3,5.9,2.3,2.9,32.4,16.4,0.0,0.4,0.4,.047
Barbara Farris,2002,DET,F-C,32,564,9.1,.497,.009,.521,6.4,10.4,5.6,1.2,1.3,20.9,15.1,0.1,0.4,0.6,.040
Allison Feaster,2002,CHA,F,32,956,19.9,.575,.647,.291,5.4,8.5,13.4,2.5,1.1,10.8,20.0,4.1,0.6,4.7,.196
Marie Ferdinand-Harris,2002,UTA,G,32,1065,18.3,.548,.092,.461,2.3,6.2,17.5,2.6,0.5,16.6,23.1,2.8,0.8,3.6,.137
Ukari Figgs,2002,POR,G,31,866,14.4,.505,.515,.279,2.0,6.1,22.1,1.6,0.2,14.4,17.0,1.9,0.6,2.5,.116
Kristin Folkl,2002,POR,F,32,602,15.5,.548,.024,.278,9.0,16.2,9.9,1.7,2.4,18.5,13.9,1.1,1.0,2.1,.139
Stacey Ford,2002,SAC,F,5,12,5.3,.347,.000,1.000,21.4,10.8,16.3,0.0,0.0,25.8,15.8,0.0,0.0,0.0,-0.119
La'Keshia Frett,2002,SAC,F,32,648,10.9,.481,.080,.091,5.9,9.5,7.7,0.4,2.6,12.2,16.7,0.4,0.2,0.6,.039
Linda Frohlich,2002,NYL,F-C,16,67,-0.4,.255,.400,.400,6.4,13.7,2.6,1.8,0.0,25.4,12.4,-0.2,0.1,-0.1,-0.066
Begona Garcia,2002,DET,G,8,64,-2.2,.313,.545,.364,0.0,3.9,25.0,2.6,0.0,46.3,17.4,-0.4,0.0,-0.3,-0.206
Andrea Gardner,2002,UTA,F-C,30,198,11.1,.434,.000,.776,19.0,19.2,4.5,0.8,1.2,16.5,18.3,0.1,0.2,0.3,.064
Kelley Gibson,2002,HOU,F-G,29,276,7.7,.520,.655,.109,1.5,4.7,9.9,1.7,2.3,26.7,14.7,-0.2,0.5,0.4,.051
Jennifer Gillom,2002,PHO,F-C,31,874,20.3,.517,.233,.328,5.4,8.9,9.9,1.9,2.1,11.8,28.9,2.3,0.4,2.6,.121
Adrienne Goodson,2002,UTA,F,32,1101,17.6,.515,.067,.375,10.7,10.2,12.6,2.2,0.4,17.3,24.7,2.3,0.7,3.0,.107
Shaunzinski Gortman,2002,MIN,G,29,369,9.7,.451,.443,.093,6.1,11.4,12.2,2.1,1.5,19.8,17.3,-0.1,0.5,0.4,.042
Vedrana Grgin-Fonseca,2002,LAS,F,12,79,5.9,.480,.387,.097,5.0,6.2,2.4,0.7,0.0,19.8,23.6,-0.1,0.1,0.0,-0.024
Yolanda Griffith,2002,SAC,C-F,17,577,23.9,.613,.000,.709,14.7,16.7,7.6,1.6,2.0,16.1,23.7,2.7,0.6,3.2,.225
Lady Grooms,2002,SAC,F,32,850,11.1,.522,.006,.459,5.7,7.6,9.2,1.4,0.8,17.5,15.2,1.0,0.2,1.2,.058
Gordana Grubin,2002,PHO,G,32,859,15.4,.478,.310,.266,2.4,5.0,24.9,2.4,0.3,14.9,22.1,1.1,0.1,1.3,.059
Amber Hall,2002,POR,F,20,104,10.8,.483,.000,.667,10.1,16.5,1.8,3.8,0.8,27.9,19.9,-0.2,0.2,0.0,.011
Vicki Hall,2002,LAS,F,3,19,16.8,.608,.250,1.000,7.0,6.5,9.0,2.9,0.0,14.8,16.4,0.1,0.0,0.1,.207
Becky Hammon,2002,NYL,G,32,659,16.7,.578,.579,.284,3.9,7.3,17.6,2.3,0.0,19.9,22.1,1.3,0.7,2.0,.121
Lisa Harrison,2002,PHO,F,32,899,13.6,.520,.025,.095,6.2,9.3,9.2,2.0,0.3,15.1,16.1,1.1,0.2,1.4,.060
Kristi Harrower,2002,MIN,G,27,481,10.1,.483,.568,.105,2.6,6.6,23.2,1.5,0.0,22.0,13.4,0.3,0.3,0.6,.052
Tracy Henderson,2002,CLE,C,23,173,4.4,.414,.000,.073,9.7,13.6,3.6,1.1,3.8,29.8,18.2,-0.5,0.2,-0.4,-0.085
Amy Herrig,2002,UTA,C,28,269,10.8,.514,.000,.566,7.3,13.2,2.6,1.8,4.0,24.1,14.9,0.0,0.4,0.4,.057
Jessie Hicks,2002,ORL,C-F,31,471,18.2,.526,.000,.412,16.6,14.4,10.5,2.3,4.8,22.0,24.2,0.6,0.4,1.1,.091
Korie Hlede,2002,NYL,G,16,129,2.0,.434,.038,.346,4.4,8.7,18.1,2.8,1.5,41.2,20.8,-0.6,0.2,-0.4,-0.129
Chamique Holdsclaw,2002,WAS,F,20,634,30.5,.527,.085,.321,10.9,23.3,18.2,1.9,0.8,10.7,33.3,2.9,1.6,4.5,.282
Kedra Holland-Corn,2002,SAC,G,32,902,9.9,.448,.525,.241,4.0,6.5,14.5,2.6,0.5,19.7,22.3,-1.0,0.5,-0.5,-0.022
Niele Ivey,2002,IND,G,31,439,10.3,.536,.704,.296,1.8,4.4,17.4,2.2,0.6,21.5,11.9,0.6,0.1,0.7,.065
Deanna Jackson,2002,CLE,F,18,143,15.6,.486,.065,.522,9.8,13.1,9.4,0.9,0.7,13.7,23.9,0.2,0.1,0.3,.081
Lauren Jackson,2002,SEA,F-C,28,882,24.5,.480,.260,.195,9.4,14.1,11.5,2.0,8.0,8.6,30.1,2.6,2.0,4.6,.209
Tammy Jackson,2002,HOU,F-C,5,69,4.8,.338,.000,.250,13.5,12.3,2.7,2.6,4.0,40.3,11.1,-0.2,0.2,0.0,-0.008
Tamicha Jackson,2002,POR,G,32,692,19.5,.491,.261,.227,3.8,5.6,29.6,4.5,0.1,16.7,26.7,1.0,1.0,2.0,.118
Adrienne Johnson,2002,ORL,G,32,602,8.6,.440,.337,.094,3.0,5.1,7.2,1.4,0.3,12.1,17.5,0.0,0.0,0.0,-0.002
LaTonya Johnson,2002,UTA,F,28,269,6.4,.442,.421,.263,3.9,4.4,6.6,1.4,0.6,15.0,17.1,0.0,0.0,0.0,.007
Pollyanna Johns Kimbrough,2002,MIA,C,31,801,14.2,.566,.000,.651,9.5,12.3,8.0,2.0,1.8,21.7,15.7,1.1,1.0,2.1,.105
Shannon Johnson,2002,ORL,G,31,1110,21.4,.516,.198,.550,5.7,7.7,30.7,2.7,0.6,16.9,25.7,3.6,0.6,4.2,.152
Tiffani Johnson,2002,HOU,C,32,815,14.7,.494,.011,.326,12.0,13.8,9.7,1.3,2.7,15.7,15.3,1.4,1.9,3.3,.162
Vickie Johnson,2002,NYL,G-F,31,1028,17.4,.541,.249,.200,5.8,7.5,18.1,1.6,0.4,11.9,19.3,3.1,0.8,3.9,.154
Asjha Jones,2002,WAS,F,32,612,10.2,.420,.043,.142,8.1,9.3,9.7,1.3,2.5,13.6,23.5,-0.4,0.6,0.2,.016
Merlakia Jones,2002,CLE,G,32,1094,16.0,.457,.137,.201,4.2,11.2,15.1,2.5,0.3,11.4,23.0,1.1,1.2,2.3,.083
Zuzi Klimesova,2002,IND,F,11,39,0.1,.201,.000,.083,3.4,8.8,9.9,1.5,2.4,13.9,18.9,-0.2,0.0,-0.2,-0.182
Sheila Lambert,2002,CHA,G,3,16,11.3,.333,.000,.000,17.5,12.9,35.1,3.8,0.0,40.0,16.2,0.0,0.0,0.0,-0.021
Lisa Leslie,2002,LAS,C,31,1060,24.0,.537,.091,.451,9.8,18.7,15.4,2.4,7.2,18.2,25.9,2.7,3.3,5.9,.224
Takeisha Lewis,2002,SEA,F-C,14,57,13.5,.502,.100,1.800,15.5,27.7,9.7,2.0,0.0,28.1,21.2,0.0,0.2,0.2,.106
Tynesha Lewis,2002,HOU,G,17,145,9.8,.507,.267,.267,5.5,8.1,12.5,1.2,1.9,21.2,15.1,0.1,0.3,0.4,.098
Rebecca Lobo,2002,HOU,C,21,132,12.9,.504,.219,.125,9.1,11.3,19.2,0.5,3.5,24.6,17.5,0.0,0.3,0.3,.090
Helen Luz,2002,WAS,G,32,474,16.5,.598,.716,.128,2.4,4.3,20.8,2.2,0.9,21.6,21.1,1.0,0.4,1.4,.122
Mwadi Mabika,2002,LAS,G,32,1050,21.0,.543,.394,.266,4.1,9.8,17.2,2.0,0.7,11.1,24.6,4.3,1.7,5.9,.226
Clarisse Machanguana,2002,ORL,C-F,29,428,12.5,.552,.000,.219,7.9,10.0,8.3,1.6,0.8,20.9,18.2,0.4,0.2,0.6,.056
Shea Mahoney,2002,PHO,F,3,13,16.4,.727,.333,.333,20.0,10.3,16.5,0.0,0.0,22.5,16.6,0.1,0.0,0.1,.179
Hamchetou Maiga-Ba,2002,SAC,F,23,197,2.7,.302,.000,.566,11.7,12.2,8.7,4.4,1.3,25.8,22.1,-1.0,0.3,-0.7,-0.150
Nadine Malcolm,2002,IND,F,29,599,8.3,.448,.259,.234,4.9,7.0,7.4,1.3,0.5,16.3,17.7,-0.1,0.1,0.0,-0.002
Michelle Marciniak,2002,SEA,G,23,280,10.2,.446,.118,.426,3.6,6.6,25.6,2.3,0.6,23.6,18.3,0.0,0.3,0.4,.051
Monica Maxwell,2002,IND,F,18,170,9.9,.365,.362,.043,9.5,12.5,8.5,2.5,2.2,11.1,16.2,-0.1,0.2,0.1,.027
Brandi McCain,2002,CLE,G,31,392,6.9,.446,.674,.186,1.4,4.6,20.3,1.7,0.7,26.8,16.9,-0.4,0.1,-0.3,-0.032
Tiffany McCain,2002,ORL,G,16,51,0.4,.298,.400,.400,2.5,3.9,6.8,3.4,0.0,20.3,14.2,-0.1,0.0,-0.1,-0.096
Nikki McCray,2002,IND,G,32,1058,12.8,.508,.208,.324,3.7,6.3,14.9,1.6,0.3,18.4,21.5,1.1,0.2,1.3,.049
Nicky McCrimmon,2002,LAS,G,32,356,10.4,.474,.306,.224,3.4,4.0,23.6,3.4,0.7,30.8,10.1,0.2,0.5,0.7,.080
Danielle McCulley,2002,SEA,C-F,4,43,-7.0,.078,.250,.167,8.8,10.7,3.8,1.4,0.0,13.4,16.8,-0.3,0.0,-0.2,-0.227
Carla McGhee,2002,ORL,F,2,4,58.5,.563,.000,.250,32.5,16.6,0.0,0.0,0.0,0.0,54.6,0.1,0.0,0.1,.524
Taj McWilliams-Franklin,2002,ORL,F-C,13,383,16.0,.575,.037,.378,7.1,10.9,6.6,2.9,3.3,18.7,15.1,0.8,0.4,1.2,.125
Chasity Melvin,2002,CLE,C-F,32,1055,17.2,.515,.018,.397,11.2,12.8,12.4,1.6,1.6,16.0,22.8,2.0,0.8,2.8,.107
Coco Miller,2002,WAS,G,32,904,15.1,.518,.243,.213,6.2,8.2,18.2,2.2,0.2,17.0,19.2,1.7,0.9,2.7,.118
Kelly Miller,2002,CHA,G,32,554,19.6,.545,.288,.215,7.8,8.5,19.5,2.4,0.2,12.2,20.6,2.1,0.2,2.3,.166
Tausha Mills,2002,WAS,C,4,17,-16.4,.000,.000,.500,0.0,11.2,0.0,3.5,0.0,29.1,20.3,-0.2,0.0,-0.2,-0.444
DeLisha Milton-Jones,2002,LAS,F,32,966,16.5,.571,.185,.384,8.9,13.5,8.4,2.8,3.1,22.9,19.6,1.4,2.2,3.6,.148
Adriana Moises,2002,PHO,G,32,619,12.5,.507,.402,.366,3.2,6.5,24.6,2.8,0.4,27.4,20.7,-0.2,0.3,0.1,.006
Jackie Moore,2002,IND,C,18,128,10.9,.476,.026,.368,9.4,15.5,5.3,2.4,0.7,24.1,23.2,-0.2,0.2,0.0,-0.006
Carolyn Moos,2002,MIA,F-C,2,6,-7.2,.000,.000,.000,0.0,0.0,0.0,0.0,16.1,0.0,8.6,0.0,0.0,0.0,-0.154
Jenny Mowe,2002,POR,C,5,16,-5.3,.266,.000,2.000,8.2,4.1,0.0,0.0,0.0,34.7,8.7,0.0,0.0,0.0,-0.124
Andrea Nagy,2002,SAC,G,24,409,4.7,.333,.318,.364,0.9,4.6,31.7,1.4,0.9,37.8,9.8,-0.6,0.1,-0.5,-0.051
Astou Ndiaye-Diatta,2002,DET,F,32,776,13.5,.479,.007,.144,7.1,13.1,11.6,1.2,1.3,16.8,20.9,0.1,0.8,1.0,.050
Claudia Neves,2002,MIA,G,20,194,8.9,.486,.677,.516,0.0,2.5,23.8,2.5,0.0,25.5,13.5,0.1,0.1,0.2,.037
Bernadette Ngoyisa,2002,NYL,C,7,12,34.6,.600,.000,.000,11.8,29.4,0.0,0.0,16.6,0.0,22.0,0.1,0.0,0.1,.356
Deanna Nolan,2002,DET,G-F,32,804,13.0,.525,.460,.145,2.7,6.8,16.6,1.9,1.3,18.8,19.0,0.8,0.7,1.5,.075
Vanessa Nygaard,2002,MIA,F,29,443,12.7,.562,.634,.129,8.0,10.6,4.1,1.5,0.2,10.9,13.9,1.0,0.4,1.4,.124
Shantia Owens,2002,CHA,F,2,6,6.9,,,,0.0,23.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.062
Murriel Page,2002,WAS,F,32,750,12.4,.476,.021,.272,9.4,13.2,9.7,1.1,1.8,17.1,17.6,0.5,0.9,1.4,.075
Kate Paye,2002,SEA,G,19,114,3.4,.528,.842,.105,2.2,4.0,7.9,1.5,0.0,28.7,11.8,-0.1,0.1,0.0,.010
Ticha Penicheiro,2002,SAC,G,24,853,18.0,.497,.201,.648,1.1,7.8,43.1,4.3,0.1,25.2,15.7,1.2,1.3,2.4,.114
Erin Perperoglou,2002,CHA,F,29,392,12.5,.485,.134,.439,11.4,16.0,9.0,2.0,3.4,21.6,16.5,0.3,0.5,0.8,.080
Bridget Pettis,2002,IND,G,32,375,9.9,.455,.402,.364,6.1,7.1,9.7,1.3,0.0,16.2,20.2,0.1,0.0,0.1,.009
Tari Phillips,2002,NYL,F-C,32,1009,20.0,.526,.005,.338,9.7,15.6,9.7,3.5,1.4,17.8,27.2,1.2,2.4,3.5,.140
Lynn Pride,2002,MIN,G-F,31,589,9.0,.396,.068,.115,6.0,12.1,15.7,2.5,3.9,23.2,17.4,-1.1,1.1,0.0,.003
Felicia Ragland,2002,SEA,G,31,432,14.0,.513,.440,.224,7.9,7.3,10.6,3.6,0.2,17.4,18.6,0.7,0.6,1.3,.120
Kristen Rasmussen,2002,MIA,F,31,674,15.6,.624,.060,.397,8.0,12.2,12.1,1.6,2.3,21.4,13.2,1.6,0.8,2.4,.144
Jamie Redd,2002,SEA,F,10,112,19.6,.662,.529,.353,9.0,7.6,13.5,1.0,0.0,15.1,20.0,0.6,0.1,0.6,.227
Brandy Reed,2002,PHO,F,5,85,9.6,.414,.122,.268,1.5,3.1,10.6,1.3,3.0,14.9,30.9,-0.2,0.0,-0.2,-0.099
Tracy Reid,2002,PHO,F,24,421,10.7,.437,.009,.239,10.2,12.2,6.6,3.0,0.4,21.8,19.1,-0.6,0.3,-0.3,-0.025
Ruth Riley,2002,MIA,C,26,519,11.4,.496,.000,.357,6.1,12.2,10.0,1.3,7.6,24.7,19.6,-0.5,0.9,0.4,.028
Jennifer Rizzotti,2002,CLE,G,26,695,14.1,.583,.733,.296,1.0,7.0,24.3,2.0,0.4,22.8,14.8,1.3,0.5,1.8,.105
Crystal Robinson,2002,NYL,F,32,1068,17.1,.566,.599,.238,2.9,6.1,15.8,2.7,1.1,13.5,19.0,3.1,1.4,4.4,.166
Nykesha Sales,2002,ORL,F-G,32,1042,17.1,.510,.306,.282,4.5,7.7,12.2,3.3,0.6,14.4,23.3,1.9,0.9,2.8,.109
Sheri Sam,2002,MIA,G-F,32,1073,19.7,.483,.173,.202,7.1,10.2,18.4,3.9,0.5,12.9,26.3,1.5,1.7,3.3,.122
Kelly Santos,2002,DET,F,12,169,9.2,.433,.000,.476,8.9,11.8,8.3,1.0,4.5,21.6,18.0,-0.2,0.2,0.0,.000
Paige Sauer,2002,CLE,C,1,7,-9.5,.000,.000,.000,20.0,19.8,0.0,8.7,0.0,25.0,29.8,-0.1,0.0,-0.1,-0.535
Jaynetta Saunders,2002,PHO,F,27,302,11.6,.423,.039,.311,4.3,8.4,15.5,1.7,1.1,14.6,22.1,-0.2,0.1,-0.1,-0.013
Audrey Sauret,2002,WAS,G,15,165,7.0,.458,.208,.208,2.3,4.2,19.3,2.9,1.1,36.4,12.5,-0.2,0.2,0.0,-0.010
Kelly Schumacher,2002,IND,C,31,352,14.8,.538,.011,.292,6.9,11.5,8.4,1.2,6.2,17.3,17.6,0.5,0.4,0.8,.095
Georgia Schweitzer,2002,MIN,G-F,30,509,12.4,.619,.379,.345,1.9,6.9,15.2,1.8,0.9,21.2,12.6,1.1,0.5,1.5,.121
Olympia Scott,2002,IND,C,31,975,15.7,.545,.017,.353,11.0,14.8,11.8,2.4,1.3,20.5,17.6,1.8,1.1,2.9,.117
Elena Shakirova,2002,CHA,C,1,5,29.0,.568,,,28.0,13.8,0.0,12.2,0.0,0.0,9.1,0.0,0.0,0.0,.342
Charlotte Smith,2002,CHA,F,32,890,11.6,.521,.410,.243,6.1,9.4,12.0,1.4,1.7,19.6,17.8,1.1,0.4,1.4,.064
Katie Smith,2002,MIN,G,31,1138,17.9,.547,.469,.382,3.0,5.6,16.6,1.7,0.6,13.0,23.9,4.0,0.7,4.7,.166
Tangela Smith,2002,SAC,C,32,1063,17.2,.489,.097,.232,6.8,11.5,9.0,1.5,3.8,11.0,24.8,1.6,1.0,2.6,.099
Michelle Snow,2002,HOU,C,32,480,15.2,.516,.021,.594,8.6,16.1,5.5,1.5,5.0,15.4,15.4,0.7,1.5,2.2,.183
Trisha Stafford-Odom,2002,MIA,F,6,38,1.8,.420,.000,1.333,10.3,11.1,9.2,1.6,0.0,38.7,21.0,-0.2,0.0,-0.1,-0.132
Dawn Staley,2002,CHA,G,32,1061,13.7,.505,.359,.437,1.1,3.6,29.9,2.8,0.0,22.5,17.4,1.8,0.3,2.2,.081
Jackie Stiles,2002,POR,G,21,382,6.6,.422,.326,.222,2.4,3.1,9.9,0.6,0.0,12.4,21.3,-0.1,0.0,-0.1,-0.015
Andrea Stinson,2002,CHA,G,32,950,22.4,.527,.201,.266,5.4,12.9,22.3,2.4,0.9,11.8,24.1,3.4,1.0,4.4,.186
Shanele Stires,2002,MIN,F,9,22,15.6,.615,.500,.500,25.6,18.9,9.7,0.0,4.2,29.1,15.8,0.0,0.0,0.1,.108
Tammy Sutton-Brown,2002,CHA,C,32,885,22.1,.598,.000,.716,12.0,14.9,3.8,2.0,3.7,13.3,21.6,3.9,1.0,4.9,.219
Sheryl Swoopes,2002,HOU,F-G,32,1154,25.5,.513,.157,.303,3.5,8.9,23.4,4.6,1.8,13.1,29.7,3.3,3.8,7.1,.247
Penny Taylor,2002,CLE,F,30,908,21.4,.536,.347,.319,7.9,12.1,17.3,2.5,1.1,13.7,24.3,2.9,1.0,3.9,.173
Nikki Teasley,2002,LAS,G,32,882,12.2,.556,.602,.241,2.6,5.9,25.9,1.5,0.9,27.0,13.2,1.5,1.0,2.4,.110
Stacey Thomas,2002,POR,F,32,621,13.1,.409,.264,.412,7.2,10.0,19.3,3.8,1.6,17.1,16.3,0.0,1.1,1.1,.071
Alicia Thompson,2002,IND,F,18,314,9.9,.416,.266,.156,5.1,9.1,10.0,1.3,0.6,13.4,21.9,-0.2,0.1,-0.1,-0.010
Tina Thompson,2002,HOU,F,29,1052,20.1,.530,.265,.277,8.5,13.4,14.0,1.4,1.8,16.7,27.0,2.2,2.6,4.9,.185
Slobodanka Tuvic,2002,PHO,C,26,320,8.0,.472,.078,.416,4.5,13.1,6.5,1.6,2.4,25.4,18.6,-0.5,0.3,-0.2,-0.022
Michele Van Gorp,2002,MIN,C,22,352,12.3,.502,.078,.244,11.6,12.6,8.9,1.0,2.9,16.7,17.2,0.4,0.3,0.8,.089
Kristen Veal,2002,PHO,G,23,361,4.5,.419,.595,.165,2.2,5.0,20.5,2.2,0.5,33.1,17.1,-0.9,0.1,-0.9,-0.098
Kamila Vodichkova,2002,SEA,F-C,32,817,17.9,.537,.155,.273,9.4,14.1,12.1,2.6,1.9,16.7,19.5,1.9,1.6,3.5,.170
Ayana Walker,2002,DET,F,32,548,13.4,.430,.054,.293,12.8,13.5,6.5,1.2,5.2,13.3,18.6,0.2,0.6,0.9,.064
DeMya Walker,2002,POR,F,31,848,15.5,.516,.042,.331,8.5,12.0,12.6,1.7,3.3,21.5,23.8,0.2,1.1,1.3,.063
Maren Walseth,2002,WAS,F,18,104,1.4,.251,.280,.080,8.6,12.9,11.9,1.1,0.0,25.8,16.8,-0.4,0.1,-0.3,-0.127
Tonya Massaline,2002,WAS,F,25,291,9.4,.398,.209,.151,11.9,8.3,9.8,0.6,0.6,14.9,18.5,0.0,0.1,0.0,.003
Ann Wauters,2002,CLE,C,28,802,19.4,.615,.005,.401,7.9,12.1,11.3,1.2,2.5,18.8,20.4,2.5,0.6,3.1,.156
Teresa Weatherspoon,2002,NYL,G,32,954,9.1,.392,.175,.474,3.4,6.4,34.0,2.7,0.3,36.2,11.9,-0.4,1.1,0.7,.029
Val Whiting-Raymond,2002,MIN,C-F,6,52,7.8,.356,.000,.923,8.1,12.0,19.8,2.3,3.5,18.0,21.7,-0.1,0.1,0.0,-0.019
Tamika Whitmore,2002,NYL,F,32,977,18.7,.540,.003,.484,6.2,10.2,5.3,1.7,4.4,11.5,22.9,2.6,1.4,4.0,.164
Sue Wicks,2002,NYL,F,30,428,8.8,.403,.014,.386,9.9,16.6,6.0,3.1,3.5,26.8,13.8,-0.6,1.1,0.5,.044
Adrian Williams-Strong,2002,PHO,C-F,32,878,14.1,.512,.000,.355,9.5,16.7,7.5,3.1,2.9,24.4,14.3,0.2,1.3,1.5,.069
Lenae Williams,2002,DET,G-F,27,177,4.1,.354,.535,.050,5.0,6.7,5.3,1.3,0.0,11.9,31.1,-0.7,0.1,-0.6,-0.138
Natalie Williams,2002,UTA,C,31,1008,15.9,.512,.042,.463,13.5,15.7,7.1,2.1,1.2,17.3,18.9,1.9,1.2,3.1,.124
